feature,importance
pitch_min,0.08406734
pitch_max,0.060827862
audio_type,0.054669157
mfcc_1,0.049104605
pitch_mean,0.041293498
formant_f2_mean,0.039463524
spectral_rolloff_mean,0.037487455
formant_f2_std,0.0367322
mfcc_7,0.03203602
spectral_centroid_mean,0.031758137
duration,0.031177726
shimmer_abs,0.029727584
hnr,0.02901371
mfcc_12,0.028972998
formant_f1_mean,0.027984066
formant_f1_std,0.02711852
mfcc_2,0.025491206
mfcc_13,0.024510909
mfcc_11,0.023793157
mfcc_3,0.02292206
mfcc_9,0.022886345
mfcc_8,0.021219265
zero_crossing_rate_std,0.020330776
jitter_abs,0.020301709
pitch_std,0.019856071
spectral_centroid_std,0.018996233
shimmer_percent,0.018777836
zero_crossing_rate_mean,0.018311968
mfcc_10,0.017775932
jitter_percent,0.017445108
mfcc_4,0.017159779
spectral_rolloff_std,0.017146362
mfcc_5,0.016890163
mfcc_6,0.014750721
source_dataset,0.0
